avatar_url	first_name	followers_count	full_name	id	kind	last_modified	last_name	permalink	permalink_url	uri	urn	username	verified	city	country_code	station_urn	station_permalink	badges.pro	badges.pro_unlimited	badges.verified
https://a1.sndcdn.com/images/default_avatar_large.png		0		997487770	user	2021-06-15T17:02:59Z		user-875736114	https://soundcloud.com/user-875736114	https://api.soundcloud.com/users/997487770	soundcloud:users:997487770	FadiSib	False			soundcloud:system-playlists:artist-stations:997487770	artist-stations:997487770	False	False	False
https://i1.sndcdn.com/avatars-000199393685-fybpkc-large.jpg		36		199925212	user	2019-03-28T14:03:46Z		tljc6xwm1sqz	https://soundcloud.com/tljc6xwm1sqz	https://api.soundcloud.com/users/199925212	soundcloud:users:199925212	User 876061021	False			soundcloud:system-playlists:artist-stations:199925212	artist-stations:199925212	False	False	False
https://i1.sndcdn.com/avatars-000340726226-4jhu75-large.jpg	Airaled	0	Airaled Resendiz	338967545	user	2017-10-20T02:21:27Z	Resendiz	airaled-resendiz	https://soundcloud.com/airaled-resendiz	https://api.soundcloud.com/users/338967545	soundcloud:users:338967545	Airaled Resendiz	False			soundcloud:system-playlists:artist-stations:338967545	artist-stations:338967545	False	False	False
https://i1.sndcdn.com/avatars-000424049166-5oxdcn-large.jpg		18		424598292	user	2018-03-28T13:30:42Z		user-437423312	https://soundcloud.com/user-437423312	https://api.soundcloud.com/users/424598292	soundcloud:users:424598292	Lisa	False			soundcloud:system-playlists:artist-stations:424598292	artist-stations:424598292	False	False	False
https://i1.sndcdn.com/avatars-000339282223-710rwh-large.jpg		415210		44781137	user	2019-10-01T00:01:56Z		superhappyfuntime	https://soundcloud.com/superhappyfuntime	https://api.soundcloud.com/users/44781137	soundcloud:users:44781137	Super Happy Fun Late Night Daytime Breakfast Show	False	Haworth		soundcloud:system-playlists:artist-stations:44781137	artist-stations:44781137	False	False	False
https://i1.sndcdn.com/avatars-dsBR13HCPPHjW9zm-wpF8Bg-large.jpg	Games	96	Games Killer's	461024505	user	2020-11-19T18:32:56Z	Killer's	games-killers-431644328	https://soundcloud.com/games-killers-431644328	https://api.soundcloud.com/users/461024505	soundcloud:users:461024505	Arrival	False	Warsaw		soundcloud:system-playlists:artist-stations:461024505	artist-stations:461024505	False	False	False
https://i1.sndcdn.com/avatars-000188937225-i35sa4-large.jpg	Tanel	316	Tanel Tinn	8637376	user	2019-08-16T05:46:31Z	Tinn	taneltinn	https://soundcloud.com/taneltinn	https://api.soundcloud.com/users/8637376	soundcloud:users:8637376	Tanel Tinn	False	viljandi	EE	soundcloud:system-playlists:artist-stations:8637376	artist-stations:8637376	False	False	False
https://i1.sndcdn.com/avatars-000180864940-if6cw0-large.jpg		13		178852296	user	2015-10-06T06:14:39Z		ehgb9gfaqgvy	https://soundcloud.com/ehgb9gfaqgvy	https://api.soundcloud.com/users/178852296	soundcloud:users:178852296	User 827414437	False			soundcloud:system-playlists:artist-stations:178852296	artist-stations:178852296	False	False	False
https://i1.sndcdn.com/avatars-000055961532-om0woz-large.jpg	ʚïɞSue	1416	ʚïɞSue Catyʚïɞ	52557367	user	2014-09-06T16:18:38Z	Catyʚïɞ	saratology	https://soundcloud.com/saratology	https://api.soundcloud.com/users/52557367	soundcloud:users:52557367	ʚïɞ SäRäTOloGy ʚïɞ	False			soundcloud:system-playlists:artist-stations:52557367	artist-stations:52557367	False	False	False
https://i1.sndcdn.com/avatars-000998682808-b6hf83-large.jpg	the thing	13	the thing lives here	973531231	user	2021-04-13T01:48:43Z	lives here	the-thing-lives-here	https://soundcloud.com/the-thing-lives-here	https://api.soundcloud.com/users/973531231	soundcloud:users:973531231	the thing lives here	False			soundcloud:system-playlists:artist-stations:973531231	artist-stations:973531231	False	False	False
https://i1.sndcdn.com/avatars-000804225472-c4eb1w-large.jpg	Abdelrahman A.	1	Abdelrahman A. Abdallah	810603340	user	2020-11-26T04:29:41Z	Abdallah	abdelrahman-a-abdallah-516359514	https://soundcloud.com/abdelrahman-a-abdallah-516359514	https://api.soundcloud.com/users/810603340	soundcloud:users:810603340	boody	False	el sherouq city	EG	soundcloud:system-playlists:artist-stations:810603340	artist-stations:810603340	False	False	False
https://i1.sndcdn.com/avatars-000330966610-h1mf3q-large.jpg	Meřø	12	Meřø Măged	327891948	user	2017-08-23T10:37:08Z	Măged	me-m-ged	https://soundcloud.com/me-m-ged	https://api.soundcloud.com/users/327891948	soundcloud:users:327891948	Meřø Măged	False			soundcloud:system-playlists:artist-stations:327891948	artist-stations:327891948	False	False	False
https://i1.sndcdn.com/avatars-000451987893-kzizkv-large.jpg		380		56074037	user	2019-04-24T09:59:30Z		sunday19	https://soundcloud.com/sunday19	https://api.soundcloud.com/users/56074037	soundcloud:users:56074037	S U N D A Y	False			soundcloud:system-playlists:artist-stations:56074037	artist-stations:56074037	False	False	False
